date,open,high,low,close,volume,amount,turnover,adj_close_hfq
2025-01-22,1463.27,1467.95,1438.0,1441.0,28294,4088101682.0,0.23,8446.49
2025-01-23,1449.97,1468.0,1438.0,1443.0,27125,3932700850.0,0.22,8456.54
2025-01-24,1442.0,1447.79,1430.31,1436.0,31360,4515322685.0,0.25,8421.37
2025-01-27,1437.0,1443.97,1427.02,1434.99,29356,4213534543.0,0.23,8416.29
2025-02-05,1440.0,1443.0,1402.21,1403.8,40757,5753730034.0,0.32,8259.57
2025-02-06,1400.01,1421.99,1400.01,1412.84,27356,3859568163.0,0.22,8304.99
2025-02-07,1413.68,1442.68,1403.41,1436.0,37242,5310850624.0,0.3,8421.37
2025-02-10,1438.0,1440.0,1427.09,1431.51,20840,2988101756.0,0.17,8398.8
2025-02-11,1434.95,1435.96,1415.9,1418.0,23573,3348668867.0,0.19,8330.92
2025-02-12,1418.0,1445.0,1416.88,1443.0,25476,3644170477.0,0.2,8456.54
2025-02-13,1443.02,1475.25,1434.51,1465.06,43385,6335985851.0,0.35,8567.39
2025-02-14,1465.06,1477.0,1458.22,1475.0,27100,3978694098.0,0.22,8617.33
2025-02-17,1481.0,1494.98,1467.1,1471.62,32471,4804663813.0,0.26,8600.35
2025-02-18,1470.0,1492.99,1462.08,1475.0,27800,4113845397.0,0.22,8617.33
2025-02-19,1475.05,1494.44,1464.9,1491.0,32393,4803378441.0,0.26,8697.73
2025-02-20,1483.0,1491.97,1473.39,1474.0,23750,3513552984.0,0.19,8612.31
2025-02-21,1480.0,1496.73,1473.01,1488.21,36418,5418169587.0,0.29,8683.71
2025-02-24,1488.0,1499.52,1474.0,1479.07,34744,5157907322.0,0.28,8637.78
2025-02-25,1470.01,1473.39,1452.0,1454.0,28387,4142814459.0,0.23,8511.81
2025-02-26,1455.45,1464.96,1445.0,1460.01,26366,3835949041.0,0.21,8542.01
2025-02-27,1460.02,1489.9,1454.0,1485.56,49762,7368002361.0,0.4,8670.39
2025-02-28,1485.5,1528.38,1482.0,1500.79,56129,8475738166.0,0.45,8746.92
2025-03-03,1502.6,1520.99,1481.5,1487.02,31596,4736679903.0,0.25,8677.73
2025-03-04,1485.0,1486.0,1465.21,1470.11,25211,3710675863.0,0.2,8592.76
2025-03-05,1472.0,1474.0,1460.1,1466.37,24605,3606932152.0,0.2,8573.97
2025-03-06,1474.0,1510.2,1472.08,1505.98,42168,6297117400.0,0.34,8773.0
2025-03-07,1503.0,1528.36,1503.0,1521.0,37991,5760608729.0,0.3,8848.47
2025-03-10,1519.81,1526.88,1506.14,1522.9,31369,4758789260.0,0.25,8858.02
2025-03-11,1517.0,1548.68,1512.0,1548.68,39776,6094007854.0,0.32,8987.56
2025-03-12,1546.96,1549.68,1526.35,1542.58,29604,4552923644.0,0.24,8956.91
2025-03-13,1544.0,1555.5,1530.88,1537.77,25724,3966369271.0,0.2,8932.74
